Player Name,Squad Name,Club Name,Session Date,Session Name,Session Type,Accelerations,Decelerations,No of Sprints,Sprint Distance,Total Distance,Max Speed,High Speed Running
Parker Hollosi,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/19/2025,USL-2,Practice,71,53,12,126,2.8,17.35,228
David Mejia,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/19/2025,USL-2,Practice,64,25,7,151,2.65,16.37,179
Julien Seher,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/19/2025,USL-2,Practice,49,41,3,31,2.77,15.86,45
Cole Pumpian,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/19/2025,USL-2,Practice,71,40,5,99,3.3,21.86,136
Mohamed Abdi,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/19/2025,USL-2,Practice,50,40,6,321,3.13,22.76,351
Erek Graham,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/19/2025,USL-2,Practice,72,42,3,29,3.17,15.87,60
Michael Howard,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/19/2025,USL-2,Practice,52,36,5,48,2.75,15.46,79
Cherif Tammar,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/19/2025,USL-2,Practice,61,30,5,55,2.51,16.07,84
Daniel Amah,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/19/2025,USL-2,Practice,61,52,2,17,3.09,15.24,29
Ramon Munoz Jr,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/19/2025,USL-2,Practice,66,49,5,125,3.37,21.36,150
Diego Lopes Preite,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/19/2025,USL-2,Practice,64,47,9,153,3.1,26.84,219
